Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
MEIM.S1WA,2012.03,98031,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2012.04,94687,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2012.05,91564,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2012.06,86723,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2012.07,87599,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2012.08,89307,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2012.09,89688,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2012.10,91325,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2012.11,96226,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2012.12,102470,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2013.01,103112,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2013.02,100789,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2013.03,97381,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2013.04,93665,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2013.05,91481,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2013.06,86913,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
