Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1
CPIQ.SE9A,1967.09,56.891059,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1967.12,56.942637,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1968.03,57.510001,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1968.06,58.283678,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1968.09,58.954198,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1968.12,59.831032,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1969.03,60.656288,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1969.06,61.326808,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1969.09,61.94575,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1969.12,62.203642,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1970.03,63.544683,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1970.06,64.524674,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1970.09,65.710978,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1970.12,68.393059,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1971.03,70.095148,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1971.06,71.642503,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1971.09,73.035122,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1971.12,74.634055,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
